"Most used conversation tags"

"Metric","View by","Segment by","Export date","Time Zone","Time period from","Time period to"
"New conversations","Conversation tag","None","2025-09-16","America/New_York","2025-08-20 00:00","2025-09-16 23:59"

"Conversation tag","New conversations"
"Free","973"
"Not tagged","843"
"Conversation Rating - High Score","167"
"District Premium","91"
"Teacher Premium","77"
"School Premium","47"
"Question: Manage classes","28"
"Question: Assign practice recommendation activities","20"
"Question: Manage activities","13"
"Question: My account","13"
"Intl School","13"
"Question: Manage Clever classes","11"
"Question: Assign activities","10"
"Question: Assign Baseline Diagnostics","10"
"Question: Pedagogical recommendation/progression","9"
"Question: View reports","7"
"Question: Sign up/Log in","7"
"Question: Student view","6"
"Question: Manage Google classes","6"
"Question/Feedback: Quill Lessons","6"
"Question: Accessibility","5"
"Question: Diagnostics report","5"
"Question: Manage manually created classes","5"
"Admin Question/Feedback: Purchase S/D Premium","5"
"Diagnostic Insights","5"
"Conversation Rating - Low Score","5"
"Question/Feedback: Student transfers","4"
"Question: ELL","3"
"Question: Launch lessons","3"
"Refund","3"
"Question: Quill tools","2"
"Feedback: Accessibility","2"
"Question: Assign Growth Diagnostics","2"
"Question/Feedback: Quill Diagnostics","2"
"Premium_School_Subscription","2"
"Question: Quill Premium","1"
"Feedback: Manage activities","1"
"Feedback: View reports","1"
"Feedback: Student view","1"
"Feedback: Assign Baseline Diagnostics","1"
"Question: Activity summary","1"
"Feedback: Activity analysis","1"
"Question: Manage Canvas classes","1"
"Question/Feedback: Quill R4E","1"
"Feedback: Assign practice recommendation activities","1"
"Feedback: Assign Growth Diagnostics","1"
"Questions/Feedback: Add student to existing assignment","1"
"Question: CollegeBoard","1"
"Staggered release fix","1"

